material_id,source_path,ext_kind,size_bytes,sha256,is_duplicate,duplicate_of,detected_lang_hint,material_role
mat_0034,themes/02-Attention/lab/guides/00_attention_prerequisites.md,md,6628,082da3c7a12eaf3e78fdc5d874088ec12017cb35ec27f9f23bd6e80cfefe5ca4,False,,mixed,lab_guide
mat_0035,themes/02-Attention/lab/guides/01_gru_seq2seq_attention_beginner.md,md,6019,6701060a5600471fa39f4eab83307bb46d0b534ca3b50e0c8f64ada11d977747,False,,mixed,lab_guide
mat_0036,themes/02-Attention/lab/guides/02_attention_walkthrough.md,md,7790,64117575735bbe61986b435999ade1d6dd637866790a3c227abf047f50c2489e,False,,mixed,lab_guide
mat_0037,themes/02-Attention/lab/guides/03_attention_debugging_playbook.md,md,6677,41b56af979d4d86dfdd54a2aa8919bb63bee05b22fb1508924b9a98ace987169,False,,mixed,lab_guide
mat_0038,themes/02-Attention/lab/solutions/01_gru_seq2seq_attention_reverse_toy_solution.ipynb,ipynb,63697,984ab6a19d034a0ba2d2279ff1da1bc566d830ee73c1ce212a931b7eea820e1e,False,,mixed,lab_solution
mat_0039,themes/02-Attention/theory/theory.md,md,10634,342501ce03973de5074f4e81b71f9a91da978528b9d9f077d0494d1dad00adee,False,,mixed,theory
mat_0040,themes/03-Transformer/lab/01_transformer_encoder_order_toy.ipynb,ipynb,40620,092e0f96f59d1657e89961bc47a7b8f2e566faee49d385826b2336316a6eb3ae,False,,mixed,lab
mat_0041,themes/03-Transformer/lab/02_transformer_encoder_imdb.ipynb,ipynb,38895,cb89812724bf4be6a6d3cc52e4e413df2271367c27dd87c7d678afc83945d73f,False,,mixed,lab
mat_0042,themes/03-Transformer/lab/guides/00_transformer_prerequisites.md,md,3193,fc2da5182875317e5c58f6434df22d9bd45cdd7f8e1911bf1ad856821d3a53dd,False,,mixed,lab_guide
mat_0043,themes/03-Transformer/lab/guides/01_self_attention_and_positional_encoding_beginner.md,md,3935,824b6c9d6135204d28b9fac021f21d5f56239ec6878c07e51da982ccaf76fe9d,False,,mixed,lab_guide
mat_0044,themes/03-Transformer/lab/guides/02_transformer_encoder_toy_walkthrough.md,md,3983,60eade3bc85b6f982f282392fcb6bd2424c9cbb288287194bc3aefd656529e92,False,,mixed,lab_guide
mat_0045,themes/03-Transformer/lab/guides/03_transformer_encoder_imdb_walkthrough.md,md,3739,b6a0ac9f579b7725353afdacd024e79c45a1bbb078e50de3f86e5660fd7cfbe4,False,,mixed,lab_guide
mat_0046,themes/03-Transformer/lab/guides/04_transformer_debugging_playbook.md,md,3799,18ccaa773d8e6905519e2e82dc78f5982eb08decf18a50a44e9cf3662a49f0e4,False,,mixed,lab_guide
